end,value_billions,form,filed,accn
2017-09-30,229.234,10-K,2019-10-31,0000320193-19-000119
2017-12-30,88.293,10-K,2019-10-31,0000320193-19-000119
2018-03-31,61.137,10-K,2019-10-31,0000320193-19-000119
2018-06-30,53.265,10-K,2019-10-31,0000320193-19-000119
2018-09-29,265.595,10-K,2020-10-30,0000320193-20-000096
2018-12-29,84.31,10-K,2020-10-30,0000320193-20-000096
2019-03-30,58.015,10-K,2020-10-30,0000320193-20-000096
2019-06-29,53.809,10-K,2020-10-30,0000320193-20-000096
2019-09-28,260.174,10-K,2021-10-29,0000320193-21-000105
2019-12-28,91.819,10-K,2020-10-30,0000320193-20-000096
2020-03-28,58.313,10-K,2020-10-30,0000320193-20-000096
2020-06-27,59.685,10-K,2020-10-30,0000320193-20-000096
2020-09-26,274.515,10-K,2022-10-28,0000320193-22-000108
2021-09-25,365.817,10-K,2023-11-03,0000320193-23-000106
2022-09-24,394.328,10-K,2024-11-01,0000320193-24-000123
2023-09-30,383.285,10-K,2025-10-31,0000320193-25-000079
2024-09-28,391.035,10-K,2025-10-31,0000320193-25-000079
2025-09-27,416.161,10-K,2025-10-31,0000320193-25-000079
